======================================================================
ALPHABETGO - LEVEL 3 FILIPINO (TAGALOG) WORDS WITH ENGLISH TRANSLATIONS
======================================================================
Total Words: 160

--- [ A ] ---
  ABO                : Ash / Ashes
  ABOT-HARD          : Handed over / Passed to
  ABOT-SOFT          : Reach / Within reach
  AHAS               : Snake
  AKIN               : Mine / My
  AKO                : I / Me
  AMA                : Father / Dad
  AMIN               : Ours (exclusive) / Our
  APA                : Wafer / Cone wafer
  APAT               : Four (number 4)
  APO                : Grandchild
  ASO                : Dog
  ATE                : Older sister
  ATIN               : Ours (inclusive) / Our

--- [ B ] ---
  BAGAL              : Slowness / Slow
  BAGO               : New / Before
  BAHA               : Flood
  BAKA               : Cow / Maybe (perhaps)
  BAKAL              : Iron / Steel / Metal
  BALAK              : Plan / Intention
  BALIK              : Return / Come back
  BANYO              : Bathroom / Restroom
  BARKO              : Ship / Large boat
  BASO               : Drinking glass
  BATA               : Child / Kid / Young
  BATO               : Stone / Rock
  BATOK              : Nape / Back of the neck
  BIBE               : Duck (domestic duck)
  BIBIG              : Mouth
  BOTE               : Bottle
  BUHOK              : Hair
  BULA               : Bubble / Foam
  BULAK              : Cotton
  BUNDOK             : Mountain

--- [ D ] ---
  DAGA               : Mouse / Rat
  DAGAT              : Sea / Ocean
  DAHIL              : Because / Due to
  DAHON              : Leaf
  DALIRI             : Finger / Toe
  DAMIT              : Clothes / Dress / Clothing
  DAMO               : Grass
  DASAL              : Prayer
  DILA               : Tongue
  DOKTOR             : Doctor

--- [ G ] ---
  GABI               : Night / Evening (or Taro root)
  GALIT-HARD         : Angry / Enraged
  GALIT-SOFT         : Anger / Mad
  GATAS              : Milk
  GOMA               : Rubber band / Rubber / Eraser
  GUHIT              : Line / Drawing / Stripe
  GULO               : Mess / Trouble / Chaos
  GUNTING            : Scissors
  GURO               : Teacher
  GUSTO              : Want / Like / Desire

--- [ H ] ---
  HARDIN             : Garden
  HAYOP              : Animal
  HINDI              : No / Not
  HIRAP              : Difficulty / Hardship / Poor
  HITO               : Catfish

--- [ I ] ---
  IBA                : Other / Different / Another
  IBON               : Bird
  ILOG               : River
  ILONG              : Nose
  INA                : Mother / Mom
  IPIS               : Cockroach
  ISA                : One (number 1)
  ISDA               : Fish
  ITLOG              : Egg
  IYO                : Yours / Your

--- [ K ] ---
  KAHEL              : Orange (fruit / color)
  KAHIT              : Even if / Even though / Although
  KAMA               : Bed
  KANIN              : Cooked rice / Rice
  KANTA              : Song / Sing
  KANTO              : Street corner / Corner
  KAPIT              : Hold / Grip / Cling
  KARNE              : Meat
  KASO               : Case / Lawsuit / Issue
  KENDI              : Candy
  KESO               : Cheese
  KUKO               : Fingernail / Toenail / Claw
  KUMOT              : Blanket
  KUSINA             : Kitchen
  KUYA               : Older brother

--- [ L ] ---
  LABI               : Lip / Lips
  LAKAD              : Walk / Stride
  LAKI               : Size / Bigness / Large
  LAMAN              : Content / Meat / Flesh
  LAPIS              : Pencil
  LARO               : Game / Play
  LIKOD              : Back (rear / anatomy)
  LOBO               : Balloon (or Wolf)
  LOLA               : Grandmother / Grandma
  LOLO               : Grandfather / Grandpa
  LUMA               : Old (objects)
  LUPA               : Soil / Ground / Land / Earth
  LUTO               : Cook / Cooking / Cooked food

--- [ M ] ---
  MAHAL              : Expensive / Love / Dear
  MALI               : Wrong / Mistake / Incorrect
  MANOK              : Chicken
  MAPA               : Map
  MATA               : Eye / Eyes
  MESA               : Table

--- [ N ] ---
  NIYOG              : Coconut

--- [ O ] ---
  OPO                : Yes (respectful/polite)
  OSO                : Bear

--- [ P ] ---
  PAA                : Foot / Feet / Leg
  PAGONG             : Turtle / Tortoise
  PAKWAN             : Watermelon
  PALA               : Shovel / Spade (or So / Apparently)
  PAPEL              : Paper
  PATING             : Shark
  PATO               : Duck
  PERA               : Money
  PILA               : Line / Queue / Battery
  PINYA              : Pineapple
  PISNGI             : Cheek / Cheeks
  PULA               : Red
  PULIS              : Police / Police officer
  PUNO               : Tree / Full
  PUSA               : Cat
  PUSO               : Heart

--- [ R ] ---
  RELO               : Wristwatch / Clock

--- [ S ] ---
  SAGING             : Banana
  SALO-HARD          : Catch (a falling object)
  SALO-SOFT          : Eat together / Join at meal
  SAMA-HARD          : Join / Come with / Companion
  SAMA-SOFT          : Bad / Evil / Harmful
  SANA               : Hopefully / Wish / Hoping that
  SANGA              : Branch (of a tree)
  SAYA-HARD          : Happiness / Joy
  SAYA-SOFT          : Skirt (traditional dress)
  SIKO               : Elbow
  SILID              : Room
  SIRA               : Broken / Torn / Damaged
  SOPAS              : Soup

--- [ T ] ---
  TABO               : Water dipper / Dipper
  TAHOL              : Bark / Barking (of a dog)
  TAKBO              : Run / Running
  TALO               : Defeated / Lose / Lost
  TAMA               : Correct / Right / Hit
  TASA               : Cup / Mug (or sharpen)
  TINIDOR            : Fork
  TIRA-HARD          : Leftover / Remainder
  TIRA-SOFT          : Reside / Live in / Strike
  TIYAN              : Belly / Stomach / Abdomen
  TUHOD              : Knee
  TULA               : Poem / Poetry
  TUNOG              : Sound

--- [ U ] ---
  UBAS               : Grapes
  UBO                : Cough
  ULAM               : Viand / Dish eaten with rice
  ULAN               : Rain
  ULAP               : Cloud
  ULO                : Head
  UNAN               : Pillow
  UNGGOY             : Monkey
  UPO                : Sit / Gourd (bottle gourd)
  URI                : Kind / Type / Category / Quality

--- [ W ] ---
  WALO               : Eight (number 8)
